co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
33,357162,UCAM,10377,UCAM-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UCAM,CIENCIAS SOCIAIS,UCAM
35,36013,UNICAMP,594,UNICAMP-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_SP,,Ciências Sociais,SP,UNICAMP,CIENCIAS SOCIAIS,UNICAMP
33,4,FGV,2126,DIREITO RIO-Direito,DIREITO,DIREITO_RJ,DIREITO RJ,Direito,RJ,DIREITO RIO,DIREITO,FGV
33,4,FGV,1851,EBAPE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,EBAPE,Administração,RJ,FGV,ADMINISTRACAO,FGV
53,4,IDP,12247,EDAP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,EDAP,ADMINISTRACAO,IDP
53,4,IDP,12247,EDAP-Direito,DIREITO,DIREITO_DF,,Direito,DF,EDAP,DIREITO,IDP
33,4,ESPM,944,ESPM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,ESPM,ADMINISTRACAO,ESPM
35,4,ESPM,636,ESPM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,ESPM,ADMINISTRACAO,ESPM
33,4,ESPM,944,ESPM-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Publicidade E Propaganda,RJ,ESPM,COMUNICACAO,ESPM
35,4,ESPM,636,ESPM-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Publicidade E Propaganda,SP,ESPM,COMUNICACAO,ESPM
35,4,FAAP,461,FA-FAAP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,FA-FAAP,ADMINISTRACAO,FAAP
35,4,FAAP,461,FA-FAAP-Direito,DIREITO,DIREITO_SP,,Direito,SP,FA-FAAP,DIREITO,FAAP
35,4,FAAP,461,FA-FAAP-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Publicidade E Propaganda,SP,FA-FAAP,COMUNICACAO,FAAP
35,4,FAAP,461,FA-FAAP-Relações Públicas,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Relações Públicas,SP,FA-FAAP,COMUNICACAO,FAAP
35,4,FGV,151,FGV-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,EAESP,Administração,SP,FGV,ADMINISTRACAO,FGV
53,4,FGV,19320,FGV-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_DF,EPPG,Administração Pública,DF,FGV,ADM PUBLICA,FGV
35,4,FGV,151,FGV-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_SP,EAESP,Administração Pública,SP,FGV,ADM PUBLICA,FGV
35,4,FGV,2128,FGV-Direito,DIREITO,DIREITO_SP,DIREITO SP,Direito,SP,FGV,DIREITO,FGV
35,4,FIA,1520,FIA-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,FIA,ADMINISTRACAO,FIA
35,4,IBMEC,2465,IBMEC SP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,IBMEC SP,ADMINISTRACAO,IBMEC
35,4,IBMEC,2465,IBMEC SP-Direito,DIREITO,DIREITO_SP,,Direito,SP,IBMEC SP,DIREITO,IBMEC
33,4,IBMEC,1030,IBMEC-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,IBMEC,ADMINISTRACAO,IBMEC
33,4,IBMEC,1030,IBMEC-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,IBMEC,DIREITO,IBMEC
33,4,IBMEC,1030,IBMEC-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Publicidade E Propaganda,RJ,IBMEC,COMUNICACAO,IBMEC
35,4,INSPER,1161,INSPER-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,INSPER,ADMINISTRACAO,INSPER
35,4,LINK,23868,LSB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,LSB,ADMINISTRACAO,LINK
53,4,MACKENZIE,19229,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,MACKENZIE,ADMINISTRACAO,MACKENZIE
33,4,MACKENZIE,195,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,MACKENZIE,ADMINISTRACAO,MACKENZIE
35,4,MACKENZIE,66,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,MACKENZIE,ADMINISTRACAO,MACKENZIE
53,4,MACKENZIE,19229,MACKENZIE-Direito,DIREITO,DIREITO_DF,,Direito,DF,MACKENZIE,DIREITO,MACKENZIE
33,4,MACKENZIE,195,MACKENZIE-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,MACKENZIE,DIREITO,MACKENZIE
35,4,MACKENZIE,66,MACKENZIE-Direito,DIREITO,DIREITO_SP,,Direito,SP,MACKENZIE,DIREITO,MACKENZIE
35,4,MACKENZIE,22,MACKENZIE-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Publicidade E Propaganda,SP,MACKENZIE,COMUNICACAO,MACKENZIE
53,4,PROCESSUS BSB,2484,PFD-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_DF,,Administração Pública,DF,PFD,ADM PUBLICA,PROCESSUS BSB
53,4,PROCESSUS BSB,2484,PFD-Direito,DIREITO,DIREITO_DF,,Direito,DF,PFD,DIREITO,PROCESSUS BSB
33,4,PUC-Rio,528,PUC-RIO-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,PUC-RIO,ADMINISTRACAO,PUCRIO
33,4,PUC-Rio,528,PUC-RIO-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,PUC-RIO,DIREITO,PUCRIO
33,4,PUC-Rio,528,PUC-RIO-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Publicidade E Propaganda,RJ,PUC-RIO,COMUNICACAO,PUCRIO
35,4,PUC-SP,546,PUCSP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,PUCSP,ADMINISTRACAO,PUCSP
35,4,PUC-SP,546,PUCSP-Direito,DIREITO,DIREITO_SP,,Direito,SP,PUCSP,DIREITO,PUCSP
35,4,PUC-SP,546,PUCSP-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Publicidade E Propaganda,SP,PUCSP,COMUNICACAO,PUCSP
33,4,UCAM,5765,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,4,UCAM,5765,UCAM-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UCAM,DIREITO,UCAM
53,4,UCB,403,UCB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,UCB,ADMINISTRACAO,UCB
53,4,UCB,403,UCB-Direito,DIREITO,DIREITO_DF,,Direito,DF,UCB,DIREITO,UCB
53,4,UCB,403,UCB-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Publicidade E Propaganda,DF,UCB,COMUNICACAO,UCB
33,4,UERJ,547,UERJ-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UERJ,ADMINISTRACAO,UERJ
33,4,UERJ,547,UERJ-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UERJ,DIREITO,UERJ
33,4,UERJ,547,UERJ-Relações Públicas,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Relações Públicas,RJ,UERJ,COMUNICACAO,UERJ
33,4,UFF,1716,UFF-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UFF,ADMINISTRACAO,UFF
33,4,UFF,1144,UFF-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_RJ,,Administração Pública,RJ,UFF,ADM PUBLICA,UFF
33,4,UFF,1716,UFF-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UFF,DIREITO,UFF
33,4,UFF,572,UFF-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Publicidade E Propaganda,RJ,UFF,COMUNICACAO,UFF
33,4,UFRJ,586,UFRJ-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UFRJ,ADMINISTRACAO,UFRJ
33,4,UFRJ,586,UFRJ-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UFRJ,DIREITO,UFRJ
33,4,UFRJ,586,UFRJ-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Publicidade E Propaganda,RJ,UFRJ,COMUNICACAO,UFRJ
53,4,UNB,2,UNB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,UNB,ADMINISTRACAO,UNB
53,4,UNB,2,UNB-Direito,DIREITO,DIREITO_DF,,Direito,DF,UNB,DIREITO,UNB
53,4,UNB,2,UNB-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Publicidade E Propaganda,DF,UNB,COMUNICACAO,UNB
35,4,UNICAMP,54,UNICAMP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,UNICAMP,ADMINISTRACAO,UNICAMP
35,4,UNICAMP,54,UNICAMP-Administração Pública,ADM PÚBLICA,ADM PÚBLICA_SP,,Administração Pública,SP,UNICAMP,ADM PUBLICA,UNICAMP
